shortForm	longForm
LISS	less invasive stabilization system, systeme peu invasif de stabilisation de fracture
LIV	leiomyomatose intravasculaire
LLA	leucemie lymphoide aigue
LLC	leucemie lymphoide chronique
LLE / LLI	ligament lateral externe / interne
LLETZ	Large loop excision of transformation zone,
LLETZ	Excision a la grande anse  de la zone de remaniement = electroconisation
LMA	leucemie myeloide aigue
LMC / CML	leucemie myeloide chronique, chronic myeloid leukemia
LMD	lobe moyen droit (poumon)
LMG	lobe moyen gauche (poumon), n'existe que lorsque le coeur est a droite (situs inversus), auquel cas le poumon droit n'a que 2 lobes
LMMC	leucemie myelo-monocytaire chronique
LMNH	lymphome malin non hodgkinien
LMNL	lower motor neurone lesion, paralysie vesicale en cas de lesion peripherique
LMP	labio-maxillo-palatine
LNC / CNL	leucemie neutrophile chronique, chronic neutrophilic leukemia
LNH	lymphome non hodgkinien
LNHD / HFNC	Lunettes nasales a haut debit
LNHD / HFNC	High flow nasal cannula
LODA	Lesion osteochondrale du dome du talus (astragale)
LP	liberation prolongee
LPAC	low phospholipid-associated cholelithisias, syndrome LPAC : lithiase biliaire associee a faible taux de phopholipides
LPG	lymphadenopathie generalisee
LPO	ligament posterieur oblique (genou)
LPS	lymphome primitif des sereuses
LPSC	laryngectomie partielle supra-cricoidienne (CHP et CHEP)
LPT / PTCL	lymphome T peripherique, peripheral T-cell lymphome
LPV	leucocidine de Panton-Valentine
LR	Long-term retrieval,
LR	Memoire a long terme
LRCL	lateral radial collateral ligament, ligament collateral lateral radial
LRD / LRG	loge renale droite / gauche
LRSI	loges renales souples et indolores
LRYGB	Laparoscopic Roux-en-Y gastric bypass,
LRYGB	Bypass Roux-en-Y laparoscopique
LS	lit strict
LSC	ligament suspenseur cranial
LSD	lobe superieur droit (poumon)
LSE	lit strict elargi
LSG	lobe superieur gauche (poumon)
LSIL	low grade squamous intraepithelial lesion, lesion intra-epitheliale de bas grade
LSLIO	ligament scapho-lunaire interosseux
LST	lateral spreading tumor, tumeur a propagation laterale
LTC / CTCL	lymphome T cutane,
LTC / CTCL	Cutaneous T-cell lymphoma
LTG	Lamotrigine
LTGA / LTGV	levo-transposition of the great arteries, levo-transposition des gros vaisseaux
LTPM	ligament transverse profond inter-metatarsien
LTS	lateral tarsal strip, tarsorraphie laterale (oeil)
LUCL	lateral ulnar collateral ligament, ligament collateral lateral ulnaire
LUNA / ALNU	Laparoscopic  uterosacral nerve ablation (laser),
LUNA / ALNU	Ablation laparoscopique du nerf uterin (laser)
LUS / SI	Lower uterine segment,
LUS / SI	Segment inferieur de l'uterus
LUTS / TUBA	Lower urinary tract symptoms,
LUTS / TUBA	Troubles urinaires du bas appareil urinaire (prostatisme)
LVAD	Left ventricular assist devices,
LVAD	Dispositif d'assistance du ventricule gauche
LVP	lombotomie verticale posterieure
LVRC	lung volume reduction coil, coil pour reduction de volume pulmonaire
M/P	maturation / provocation
MA	maladie d'Alzheimer
MAC	membrane attack complex,
MAC	complexe d'attaque membranaire
MAC	mycobacterium avium
MADD	mixed anxiety and depression disorder, trouble mixte anxieux-depressif
MADRS	Montgomery-Asberg depression rating scale,
MADRS	Echelle d'evaluation de la depression (score de 0 a 60)
MADSAM	Multifocal acquired demyelinating sensory and motor neuropathy,
MADSAM	Syndrome de Lewis-Sumner
MAF	Mouvements actifs foetaux
MAI	meat acoustique interne
MAL	Melanome acral lentigineux
MALT	Mucosa-associated lymphatic (lymphoid) tissue, Tissu lymphoide associe aux muqueuses
MANEC	mixed adenoneurocrine carcinoma, carcinome mixte adeno-neuroendocrine
MAP	Malformation adenomatoide pulmonaire
MAP	mise au point
MAPA	monitorage ambulatoire de la pression arterielle
MAPCA	Major arto-pulmonary collateral arteries,
MAPCA	Arteres collaterales aorte-pulmonaires directes
MAR	medecin anesthesiste-reanimateur
MARS	molecular adsorbants recirculation system, systeme de dialyse hepatique (assistance hepatique extra-corporelle)
MAS	Multiaxial classification of child and adolescent psychiatric disorders,
MAS	Diagnostic multi-axial lors de troubles psychiques chez l'enfant et l'adolescent
MASS	Forme maligne du syndrome de Sweet,
MAST	Military anti-shock trousers,
MAST	Pantalons militaire anti-chocs
MAST	Minimal access spinal technologies, Chirurgie du rachis mini-invasive
MAT	micro-angiopathie thrombotique
MAV	malformation arterio-veineuse
MB	metabolisme basal
Mbb	membrane basale
MBCR-ABL	test sur les genes en oncologie
MBL	Mannose-binding lectin,
MBL	Deficit immunitaire voie des lectines
MBL-LC	monoclonal cell-B lymphoctosis of low count, lymphocytose B monoclonale (etat pre-leucemique)
MC	maladie coronarienne
MC	metacarpien
MCA	middle cerabral artery, artere de la bifurcation sylvienne
MCAD	medium chain acryl CoA-deshydrogenase (anomalie metabolisme des acides gras)
MCAS	maladie cardiaque atherosclerotique
MCE	massage cardiaque externe
MCHNO	Myocardiopathie hypertrophique non obstructive
MCHO	myocardiopathie hypertrophique obstructive
MCI	mild cognitive impairment, trouble cognitif leger
MCJ / CJD	maladie de Creutzfeldt-Jakob,
MCJ / CJD	Creutzfeldt-Jakob disease
MCKD	multicystic dysplastic kidney, reins multikystiques
MCL	ligament collateral medial (genou int.)
MCO	medecine, chirurgie, gynecologie-obstetrique
MCP	Melange de concentre plaquettaire
MCP	Metacarpo-phalangien
MCP	machine coeur-poumon
MCR / MCU	mid carpal radial / mid carpal ulnar, voies medio-carpiennes mediales
MCT	malposition cardio-tuberositaire
MCTD	mixed connective tissue disease, syndrome de Sharp (auto-immune)
MCV	maladie cardio-vasculaire
MDC	major diagnostic category, categories cliniques majeures
MDH	maladie de Hodgkin
MDMA	Stupefiant derive des amphetamines (methylenedioxymetamphetamine) (ecstasy)
MDRD/CKD-EPI	modification of the diet renal disease/chronic kydney disease - epidemiology collaboration, estimation de la fonction renale
MDS	Medicaments derives du sang
MDS-SLD	Myelodysplastic syndrome - Single line disorder,
MDS-SLD	Syndrome myelodysplasique - dysplasie unilignee
MDS / SMD	myelodysplasic syndrome, syndrome myelodisplasique
MDS-U	Myelodysplastic syndrome, unclassifiable,
MDS-U	Syndrome myelodysplasique non classifie
MEA	multiple endocrine adenomatosis, adenome endocrinien multiple
MEB	muscle-eye-brain, syndrome muscle-oeil-cerveau (alpha-sacroglycanopathie)
MEC	maladie d'Erdheim-Chester
MELAS	Myopathy, encephalopathy, lactic acidosis, and stroke-like episodes (syndrome),
MELAS	Myopathie, encephalopathie, acidose lactique, pseudo-episodes vasculaires cerebraux (syndrome)
MELD	model for end-stage liver disease (score)
MEN	multiple endocrine neoplasia, neoplasie endocrinienne multiple
MEOPA	melange equimolaire d'oxygene et de protoxyde d'azote (gaz au masque)
MEP / PEM	Motor-evoked potentials,
MEP / PEM	Potentiels evoques moteurs (test)
MER	Membrane epi-retinienne
MERRF	Myoclonus epilepsy with ragged red fibers (syndrome),
MERRF	Epilepsie myoclonique avec fibres rouges dechiquetees (syndrome)
MERS-CoV	meaddle east respiratory syndrome-coronavirus,
MERS-CoV	syndrome respiratoire du Moyen-Orient
MET	Meningo-encephalite toxoplasmique
MEVE	Meningo-encephalite verno-estivale
MF	Mycosis fongoide (lymphome cutane)
MFE	monitoring foetal electronique
MFIU	mort foetale in utero
MFLS	Morphologic- leukemia-free state,
MFLS	Leucemie avec reponse morphologique complete
MGF	mutilation genitale feminine
MGIT	mycobacteria growth indicator tube,
MGIT	tube avec indicateur de croissance mycobacterienne, test de resistances de tuberculose aux medicaments
MGMT	test des glioblastome, methylation du promoteur du gene
MGUS / GMSI	Monoclonal gammopathy of undetermined significance,
MGUS / GMSI	Gammapathie monoclonale de signification indeterminee
MH / MHJ	Maladie de Huntington / Maladie de Huntington juvenile
MI	membre inferieur
MIBG	meta-iodobenzyl guanidine (scintigraphie au MIBG)
MICI	Maladies inflammatoires chroniques de l'intestin
MID	membre inferieur droit
MIDCAB	minimally invasive direct coronary artery bypass, operation coronaire mini-invasive a coeur battant
MIDD	Maternally inherited diabetes and deafness,
MIDD	Diabete avec surdite de transmission maternelle
MIF / FIM	Mesure de l'independance fonctionnelle,
MIF / FIM	Functional independence measure
MIG	membre inferieur gauche
MIGA	Mento-iliaque gauche anterieur
MIGT	Mento-iliaque gauche transverse (presentation de la face)
MINOCA	Myocardial infarction with nonobstructive coronary arteries,
MINOCA	Infarctus sans stenose significative des arteres coronaires
MIO	mini invasive osteosynthesis, osteosynthese mini-invasive
MIPCA	,
MIPO	minimally invasive plate osteosynthesis, osteosynthese mini-invasive par plaque
MIS / CMI	Minimally invasive surgery, Chirurgie mini-invasive
MISC-C / PIMS	Multisystem inflammatory syndrome in children, pediatric inflammatory multisystem syndrome
MISC-C / PIMS	Syndrome inflammatoire multisystemique pediatrique
MIU	mort in-utero
ML	medio-lateral
MLC	Multileaf collimator,
MLC	Collimateur multilames (radiotherapie)
MLD	Manual lymphatic drainage,
MLD	Drainage lymphatique manuel
mLDFA	Mechanical lateral distal femoral angle,
mLDFA	Angle mecanique lateral distal du femur
MLS	Microlaryngoscopie en suspension
MM	melanome malin
MMC	Mitomycine (antibiotique / antifibrotique)
MMC	myelomeningocele, spina bifida
MMF	mycophenolate mofetil (immunosuppresseur) (transplantations)
MMH	maladie de membranes hyalines
MMN	maladie du motoneurone
mMPTA	Mechanical medial proximal tibial angle,
mMPTA	Angle mecanique medial proximal du tibia
MMR	mismatch repair, defaillance systeme reparation ADN (donne mutation genetique)
mMRC	modified medical research council dyspnea scale, score d'evaluation de dyspnee (echelle de 1 a 5)
MMS / MMSE	Mini mental state, mini mental state examination,
MMS / MMSE	Evaluation des fonctions cognitives (test de Folstein)
MMSE	mini mental state examination
MNA	Mini nutritional assessment, score 0-30 (<17= malnutrition)
MNI	mononucleose infectieuse
Mo	morphine
MoCA	Montreal cognitive assessment,
MoCA	Evaluation de dysfonctions cognitives legeres
MODIC	classification de lombalgies (3 stades)
MODY	maturity-onset diabete of the young, diabete rare d'origine genetique
MOF	multiorgan failure, defaillance d'organes multiples
MOHS	chirurgie micrographique de Mohs
MOI/S	mesial occipital inferieur / superieur
MOTSA	Multiple overlapping thin slab acquisition,
MOTSA	Fractionnement de l'acquisition 3D en plusieurs blocs (angiographie par resonance magnetique 2D ou 3D)
MOTT / NTM	Mycobacterium other than tuberculosis, Nontuberculous mycobacteria,
MOTT / NTM	Mycobacterium autre que tuberculosis, Mycobacteries non-tuberculeuses
MP	metacarpo-phalangienne
MPAL / BAL	Mixed phenotype acute leukemia, Leucemie aigue biphenotypique
MPE	Malnutrition proteine-energetique
MPFL	medial patello femoral ligament, ligament femoro-patellaire medial ou aileron rotulien interne
MPJS	mouvements periodiques des jambes au cours du sommeil
MPM	mesotheliome pleural malin
MPNST	malign peripheral nerve sheath tumors, tumeur maligne des gaines des nerfs peripheriques (schwanome malin)
MPOC	maladie pulmonaire obstructive chronique
MPR	Medecine physique et readaptative
MPR/3D-MPR	multi-planar reconstruction, (PET-CT),
MPS	Maladie porto-sinusoidale
MPS	micropharyngoscopie
MR	microspheres radioactives
MRC	maladie renale chronique
MRCP	magnetic resonance cholangiopancreatography,
MRCP	Cholangiopancreatographie par resonance magnetique (IRM)
MRD	minimal residual disease, nombre de cellules restantes dans les leucemies
MRgFUS	magnetic resonance-guided focused ultrasound surgery,
MRgFUS	ultrasons focalises guides par IRM
MRGO	mental retardation with a genetic origin, retard mental d'origine genetique
MRI / IRM	magnetic resonance imaging, imagerie par resonance magnetique
MRKH	Mayer Rokitansky Kuster Hauser, syndrome gyneco
MROP	maladie reconnue d'origine professionnelle
MRP	Medicaments radio-pharmaceutiques
MRP	medecine physique et de readaptation
MRSA/SARM	methicillin-resistant staphylococcus aureus, staphylocoque dore resistant a la meticilline
MRSE	methicillin-resistant staphylococcus epidermidis, staphylocoque epidermidis resistant a la methicilline
MRSE	methicillin-resistant staphylococcus epidermidis, staphylocoque epidermidis resistant a la methycilline
MRT	magnetic resonance tomography
MRV	murmure respiratoire vesiculaire
MS	membre superieur
MSA / AMS	multiple system atrophy, atrophie multisystematisee
MSA-P	multiple system atrophy-Parkinson, atrophie multi-systemique de type Parkinson
MSC	Massage du sinus carotidien
MSD	membre superieur droit
MSDs	Muskuloskeletal disorders, troubles musculosquelettiques
MSG	membre superieur gauche
MSH	Melanocyte-stimulating hormone, Hormone melanotrope
MSI	Microsatellites instables
MSLT	Multiple sleep latency test,
MSLT	Test multiple de latence du sommeil
MSN	mort subite du nourrisson
MSP	mise en situation professionnelle
MSS	Microsatellites stables
MSSA	methicillin susceptible strains staphylococcus aureus, staphylocoque aureus multisensible
MST	morphine
MST / MTS	maladie sexuellement transmissible
MT	medecin traitant
MTE	maladie thrombo-embolique
MTEV	maladie thrombo-embolique veineuse
MTF	myotherapie fonctionnelle
MTG	maladie trophoblastique gestationnelle
MTP	plaque utilisees dans la chirurgie de l'avant-pied
MTT	Medical training therapy,
MTT	Programme de renforcement musculaire (reconditionnement)
MTT / TTM	mean transit time, temps de transit moyen
MTX	methotrexate
MV	murmure vesiculaire
MVAS	maladie vasculaire atherosclerotique
MVBIH	Maladies des voies biliaires intra-hepatiques
MVC	maladie veineuse chronique
MVO	maladie veino-occlusive
MVP	Microvascular plug,
MVP	Obturateur microvasculaire
MVS	mechanical ventilatory support, aide mecanique respiratoire
MW	maladie de Willebrand
N	normal
N-CAM	Nerve-cell adhesion molecule,
N-CAM	molecule d'adherence des cellules nerveuses
N? PLT	numeration plaquettaire
N/V	Nausees / vomissements
NABIC	Hydrogenocarbonate de sodium (NaHCO3),
NAC	N-acetylcysteine (stimule la production de glutathion)
NACO	nouveaux anticoagulants oraux (d'action directe, Pradaxa, Xarelto, Eliquis...)
NAFLD	non-alcoholic fatty liver disease, steatose hepatique non alcoolique
NAS	New active substance,
NAS	Nouveau principe actif
NAS	Neonatal airleak syndrome,
NAS	Syndrome de fuite d'air neonatal
NAS	nephroangiosclerose
NASCET	North american symptomatic cartotid endarterectomy trial
NASCET	Mesure de degre de stenose symptomatique de carotide
NASH	Non alcoolic steato-hepatitis,
NASH	Steatohepatite non-alcoolique
NATF	Necrose avasculaire de la tete femorale
NAV	Necrose avasculaire
NAV	noeud atrio-ventriculaire
NAVA	Neurally adjusted ventilatory assist,
NAVA	Ventilation non-invasion chez les nourrissons
NBI	narrow band imaging system (imagerie endoscopique)
NBIA	neurodegeneration with brain iron accumulation, neurodegenerescence avec surcharge cerebrale en fer (anciennement syndrome de Hallervorden-Spatz)
NBS	Narcotic bowel syndrome,
NBS	Syndrome intestinal des narcotiques
NC	non classants
NCA	Non classe ailleurs
NCB	Nevralgie cervico-brachiale
NCI	nerf calcaneen inferieur (nerf de Baxter)
NCN	nombre de copies normalisees (sequencage)
NCNC	Normochrome normocytaire (anemie)
NCVG	Non compaction du ventricule gauche
NE	nutrition enterale
NEAD	Non-epileptic attack disorder, crise non-epileptique
NEC / ECN	necrotizing enterocolitis, enterocolite necrosante
NEM	decision de << non-entree en matiere >> (asile)
NEMS	Nine equivalent of nursing manpower use score
NF	neurofibromatose
NFS	numeration formule sanguine
NGF	Nerve growth factor,
NGF	Facteur de croissance nerveuse
NGIT	neoplasie germinale intratubulaire (testicules)
NGS	Next-generation sequencing,
NGS	Sequencage haut debit
NIA	nephrite interstitielle aigue
NIC	nephropathie interstitielle chronique
NIFTP / CPTVFE	Noninvasive follicular thyroid neoplasm, Cancer papillaire de la thyroide variante folliculaire encapsulee
NIFTP / CPTVFE	CPTVFE : idem avec invasion
NIHSS	national institute of health stroke score, outil d'evaluation de phase aigue d'AVC
NIM	Nerve integrity monitor, Monitoring de nerf
NIP / NIOP	nerf interosseux posterieur (avant-bras, main)
NIPS	Non-invasive programmed stimulation,
NIPS	Stimulation electrique programmee non-invasive
NIR	non insulino-requerant
NIR/ICG	Visualisation multimodale - endoscopie vasculaire par fluorescence
NIRS	near-infrared-spectroscopy, spectroscopie infrarouge
NIV / VIN	non-invasive ventilation, ventilation non invasive
NK	natural killer, lymphocyte tueur naturel
NLP	neuroleptiques
NLPC	nephro-lithotomie percutanee
NMDA	acide N-methyl-D-aspartique
NMIH	nonoperative management of intraabdominal hypertension, gestion non-operatoire de l'hypertension intra-abdominale
NMM	neuropathie motrice multifocale
NMO	neuromyelite optique
NMOSD	nueromyelitis optica spectrum disorder, nouveau spectre clinique de neuromyelite optique
NNE	Neoplasies neuroendocrines
NNIS	National nosocomial infections surveillance;
NNIS	Surveillance des infections nosocomiales (programme nord-americain)
NNS	neutrophiles non segmentes
NNT	nouveau-ne a terme
NNTSain	nouveau-ne a terme sain
NO	oxyde nitrique
NO	monoxyde d'azote
NODAT	new onset diabetes after transplant, diabete secondaire a la prise d'immunossuppresseur et glucocorticoides apres transplantations
NOIA	neuropathie optique ischemique anterieure
NOIAA	Neuropathie optique ischemique anterieure aigue
NOR ou NonOR	non operating room
NORB	nevrite optique retrobulbaire
NOS	not otherwise specified, non specifie
NOTES	Natural orifice transluminal endoscopic surgery,
NOTES	Chirurgie endoscopique transluminale par orifices naturels
NPAD	nutrition parenterale a domicile
NPD	non progression de dilatation
NPE	Nutrition parenterale precoce
NPF	Neuropathie des petites fibres
NPO	nihil per os, aucune administration de medicament ou nourriture par voie orale
NPP	non progression de presentation
NPPE / OPPN / OAPPN	Negative pressure pulmonary edema,
NPPE / OPPN / OAPPN	Oedeme pulmonaire a pression negative, Oedeme aigu pulmonaire a pression negative
NPS	ne pas substituer, mention sur une ordonnance pour exclure la delivrance d'un produit generique
NPT / TPN	Nutrition parenterale totale,
NPT / TPN	Total parenteral nutrition
NRAS	mutation de gene RAS
NRCV	nodules de la cloison recto-vaginale
NRS	Nutrition risk screening,
NRS	Evaluation des risques nutritionnels (echelle 0-5)
NRS	Nourrisson
NRTI	nucleoside reverse transcriptase inhibitor, inhibiteur nucleosidique de la transcriptase inverse
NSCLC	non small cell lung cancer, cancer du poumon non a petites cellules
NSGCT	Non-seminomatous germ cell tumor,
NSGCT	Tumeur germinale non-seminomateuse
NSIP/PINS	non-specific interstitial pneumonia, pneumopathie interstitielle non specifique
NSM	Nipple sparing mastectomy,
NSM	Mastectomie avec conservation du mamelon
NSM	nerve sheath myxoma, myxoma de gaine de nerf
NSSP	Neuropathie sensitive subaigue paraneoplasique (Denny Brown)
NST	Non special type,
NST	Type non special (carcinome canalaire du sein)
NST	noyau sous-thalamique (neurostimulation)
NST-R NP	Non-stress-test reactif non pathologique
NSTEMI	Non-ST-elevation myocardial infarction,
NSTEMI	Infarctus du myocarde sans elevation du segment ST
NSU	negligence spatiale unilaterale (heminegligence)
NT	neutrophiles totaux
NTA	necrose tubulaire aigue
NTA / ATN	necrose tubulaire aigue, acute tubular necrosis
NTBR	not to be resuscitated, ordre medical d'abstention de reanimation cardio-pulmonaire en cas d'arret cardio-respiratoire (= DNR ou DNAR)
NTD	Neglected tropical disease, maladie tropicale negligee
NTIS	non-thyroidal illness syndrome, syndrome de basse 3
nTMS	Navigated transcranial magnetic stimulation,
nTMS	Stimulation magnetique transcranienne naviguee
NTP	nasogastric tube placement, sonde nasogastrique
NTP / APT	Nutrition parenterale totale,
NTP / APT	Alimentation parenterale totale
NTS	noyau du tractus solitaire
NV	nevrite / neuronite vestibulaire
NVOP	nausees-vomissements peri-operatoires
NVUC	nested variant urothelial carcinoma, carcinome urothelial a type de nid
NYHA	New York heart association, criteres de la NYHA dans l'insuffisance cardiaque (stade II = dyspnee II si pathologie cardiaque)
O-RADS	Ovarian reporting and data system,
O-RADS	Caracterisation des tumeurs ovariennes
O2T	oxygenotherapie
OACR	Occlusion de l'artere centrale de la retine
OAD	one a day, une fois par jour
OAE / OEA	otoacoustic emission, emission autoacoustique
OAH / SHO	osteoarthropathie hypertrophique secondaire, secondary hypertrophic osteoarthropathy
OAHN	oedeme aigu hemorragique du nourrisson
OAM	Orthese d'avancee mandibulaire
OAN	Oedeme angioneurotique
OAP	oedeme aigu du poumon
OATS	Osteochondral autograft transfer system,
OATS	Greffe de cartilage par transfert osteo-articulaire
OATS	Oligoasthenospermie
OB	oesophage de Barrett
OBVR	Occlusion de branche veineuse retinienne
OCD	osteochondritis dissecans, osteochondrite dissequante
OCFL-BC	quintuple association de produits chimio
OCP	osteochondroplastie
OCR	osteotomie cuneiforme de retournement
OCRA	osteotomie cervicale de raccourcissement axial (metatarse)
OCRL	Oculo-cerebro-renal Lowe syndrome, syndrome oculo-cerebro-renal ou syndrome de Lowe
OCT	optical coherence tomography, tomographie par coherence optique
OCT / CTO	Occlusion chronique totale (coronaires),
OCT / CTO	Chronic total occlusion
OD	ocula dexter, oeil droit
OD / AD	oreillette droite
ODF	orthopedie dento-faciale
ODM	osteodensitometrie
ODS	Obstructive defecation syndrome,
ODS	Dyschesie, evaluation d'evacuation de selles (score avec criteres 0 a 5)
OE	Orifice externe (col uterus)
OESIL	Osservatorio epidemiologico sulla sincope nel lazio, score d'evaluation de gravite des syncopes (age, IC, prodromes, ECG)
OF	Osteoporose fracturaire
OFA	Opioid free anesthesia,
OFA	Anesthesie sans morphinique
OG / AG	oreillette gauche
OGD / EGD	oesophago-gastro-duodenoscopie, esophagogastroduodenoscopy
OGE	organes genitaux externes
OGV / UGV	Obere Grenzverweildauer / untere Grezverweildauer,
OGV / UGV	Borne superieure / inferieure de duree de sejour
OHAP / HOA	Osteoarthropathie hypertrophique primaire, Hypertrophic osteoarthopathy
OHB	oxygenotherapie hyperbare
OHD / HFO	Oxygenotherapie a haut debit,
OHD / HFO	High flow oxygen
OIDA / OIDP	occipito-iliaque droit anterieur / posterieur
OLD	oxygenation longue duree
OLGBP	omega-loop gastric bypass / mini gastric bypass / single anastomosis gastric bypass, by-pass gastrique en omega
OLIF	Oblique lumbar interbody fusion,
OLIF	Fusion de vertebres lombaires (arthrodese) par voie oblique
OLLP / OPLL	Ossification du ligament longitudinal posterieur (rachis),
OLLP / OPLL	Ossification of posterior longitudinal ligament
OMA	otite moyenne aigue
OMC	oedeme maculaire cystoide
OMD	oedeme maculaire diabetique
OMI	oedeme des membres inferieurs
OMIG / OMID	Oedeme du membre inferieur gauche / droit
OMP	Oesophage marteau piqueur
OMPK / SOPK	Ovaires micro-polykystiques, Syndrome des ovaires polykystiques
OMS	organisation mondiale de la sante
OPAT	outpatient parenteral antibiotic therapy,
OPAT	antibiotherapie parenterale ambulatoire
OPCAB	off-pump coronary artery bypass, operation coronaire a coeur battant
OPG	ocular plethysmography, mesure de la pression oculaire
OPH	oedeme pulmonaire hemodynamique
OPK	ovaires polykystiques
OPLL	ossification of the posterior longitudinal ligament, ossification du ligament longitudinal posterieur
OPN	Os propres du nez
OPT	orthopantomogramme
OR	operating room, intervention realisee dans une salle d'operation
ORIF	Open reduction and internal fixation, Reduction ouverte avec fixation interne
ORL	oto-rhino-laryngologie
OS	ocula sinister, oeil gauche
OSM	Otite sero-muqueuse
OSP / PSO	Osteotomie de soustraction pediculaire,
OSP / PSO	Pedicle subtraction osteotomy
OSS	Osseux
OT	osteotomie
OTA	oligo-terato-asthenospermie
OTP	Osteotomie trans-pediculaire
OTPE	Oxygenotherapie en plusieurs etapes
OTV	osteotomie tibiale de valgisation
OVCR	occlusion de la veine centrale de la retine
OVHIPEC	ovarian hyperthermic intraperitonel chemotherapy,
p	bras court d'un chromosome (genetique)
P1	premiere phalange
PA	pression arterielle
PAAP	polyneuropathie axonale ascendante progressive
PAC	Pneumonie acquise en communaute
PAC	port-a-cath
PAC / CABG	pontage aorto-coronarien, coronary artery bypass graft surgery
PACG	pontage aorto-coronarien par greffe
PACI	partial anterior circulation infarction, infarctus cerebral partiel anterieur
PaCO2	pression arterielle partielle en dioxyde de carbone
PACU	Post-anesthesia care unit,
PACU	Unite de soins post-anesthesie
PAD	passage a documenter
PAD	pression arterielle diastolique
PADH	post artesunate delayed hemolysis, hemolyse post-traitement d'artesunate (malaria)
PAF	paquet acoustico-facial
PAFA	Placement a des fins d'assistance
PAIR	ponction-aspiration-injection et reaspiration (traitement des kyste hydatiques du foie)
PAIR-PD	ponction-aspiration-injection et reaspiration, avec drainage
PAIS	Partial androgen insensitivity syndrome,
PAIS	Syndrome de resistance partielle aux androgenes
PAL	Plastie antero-laterale (geste ligamentaire peripherique du genou)
PAL	Phophatase alcaline
PALS	pediatric advanced life support, soins avances d'urgence pediatrique
PAM	pression arterielle moyenne
PAMELA	Posterior to anterior malleolar extending lateral approach to ankle,
PAMELA	Approche laterale etendue postero-antero-malleolaire de la cheville
PAMP	pathogen associated molecular pattern,
PAMP	motifs moleculaires associes aux agents pathogenes
PAN	Preparation a l'accouchement et a la naissance
PAN	periarterite noueuse ou panarterite noueuse
PaO2	pression arterielle partielle d'oxygene
PAP	test (frottis du col)
PAP-Flap	Profunda artery perforator - Flap,
PAP-Flap	lambeau libre perforant de l'artere profonde de la cuisse (reconstruction mammaire)
PAPE / I	point d'angle postero-externe / interne (genou)
PAPm	Pression arterielle pulmonaire moyenne
PAPO	pression arterielle pulmonaire d'occlusion
PAPVD / RVPAP	Partial anomalous pulmonary venous drainage,
PAPVD / RVPAP	Retour veineux pulmonaire anormal partiel
PAS	pression arterielle systolique
PASH	pseudo-angiomatous stromal hyperplasia, hyperplasie stromale pseudo-angiomateuse du sein
PASI	Psoriasis area and severity index,
PASI	Evaluation de la gravite du psoriasis
PASTA	Partial articular supraspinatus tendon avulsion,
PASTA	Rupture de la face profonde du supra-epineux
PAVM	Pneumonie acquise sous ventilation mecanique
PB	ponction-biopsie
PBA	Palliativmedizinisches basisassessment,
PBA	Examen de base de medecine palliative
PBEM	Peut boire et manger
PBF	ponction biopsie du foie
PBH	ponction biopsie hepatique
PBR	ponction biopsie renale
PBS	Prune Belly syndrome, syndrome de Prune Belly / d'Eagle Barrett
PBS	peritonite bacterienne spontanee
PBVE	Pied bot varus equin
PC	Palliative care,
PC	Soins palliatifs
PC	Perte de contact
PC	perimetre cranien
PCA	Patient controlled analgesy,
PCA	Analgesie controlee par le patient
PCAA	Posterior communicating artery aneurysm,
PCAA	Anevrisme de l'artere communicante posterieure
PCC	pancreatite chronique calcifiante
PCCL	patient clinical complexity level
PCE / EPC	carbapenemase productive endobactery, endobacterie productrice de carbapenemase
PCE / PR	polyarthrite chronique evolutive
PCEA	patient-controlled epidural analgesia, analgesie peridurale controlee par le patient
PCI	Peritoneal cancer index,
PCI	Score de carcinose peritoneale (score de 0-39)
PCI	produit de contraste iode
PCI/ICP	percutaneous coronary intervention, intervention coronaire percutanee = PTCA/ACTP
PCOM	Posterior communicating (artery),
PCOM	Artere communicante posterieure
PCP	Pneumocystis pneumonia carinii,
PCP	Pneumonie a pneumocystis carinii
PCR	Polymerase chain-reaction, r
PCR	Reaction en chaine par polymerase, principe de copier un fragment de materiel ARN ou ADN en millions d'exemplaires (recherche d'inflammation), amplification genique
PCT	procalcitonine
PCU	Phenylcetonurie
PCWP	pulmonary capillary wedge pressure, pression capillaire pulmonaire
PD	peridurale
PD-L1	Programmed death-ligand 1
PDA	Patent ductus arterius (occluder therapy),
PDA	Fermeture du canal arteriel par obturateur
PDAI	Pouchitis disease activity index,
PDAI	Score d'evaluation de pochite (3 criteres avec echelle 0-18)
PDC	perte de connaissance
PDCD	Predescemet cornel dystrophy, dystrophie corneenne pre-descemetique
PDF	produit de degradation de la fibrine
PDGF	Platelet-derived growth factor, Facteur de croissance derive des plaquettes
PDGF	platelet-derived growth factor, facteur de croissance des plaquettes
PDL	pillule du lendemain
PDL / DLP	dose-length product, exposition radiologique
PDN	Prednisone
PDR	pulse dose rate, curietherapie (brachytherapie) a debit pulse
PDS	Prise de sang
PDT	photodynamic therapy, therapie photodynamique
PE	Pre-eclampsie
PE	polyethylene (protheses)
PEA	potentiels evoques auditifs
PEAG	pustulose exanthemique aigue generalisee
PEAI	polyendocrinopathie auto-immune
PEC	prise en charge
PEC / PEX	syndrome pseudo-exfoliatif, pseudo exfoliation syndrome
